Herb,Category,Effects,Preparation,Intensity,Onset,Legal Status,Region,Tags,Mechanism of Action,Pharmacokinetics,Therapeutic Uses,Side Effects,Contraindications,Drug Interactions,Toxicity,Toxicity / LD50
Pedicularis densiflora (Indian warrior),Dissociative / Sedative,"Muscle relaxation, mild body high",Smoked Or Tea,Moderate,5-15 Min,Legal / Unregulated,"🌍 Africa, 🇮🇳 India","️ Smokable,, Brewable,,, Dissociation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Nymphaea ampla,Empathogen / Euphoriant,"Sedative, euphoric, dreamlike states",Tea Or Smoke,Mild,15-45 Min,Legal / Unregulated,🌎 Unknown / Global,"️ Smokable,, Brewable,,, Euphoria,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Silphium (extinct),Other,Ancient psychoactive/contraceptive herb,No Longer Available But Worth Note,Mild,Varies,Legal / Unregulated,🌎 Unknown / Global, Safe,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Celastrus paniculatus (Intellect Tree),Other,"Lucid dreaming, cognitive enhancer",Oil Or Seeds Consumed,Mild,Varies,Legal / Unregulated,🌎 Unknown / Global," Cognitive,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acorus gramineus,Ethnobotanical / Rare,"Cognitive clarity, trippy effects (debated)",Tea Or Chewed,Mild,15-45 Min,Legal / Unregulated,🇨🇳 East Asia," Brewable,,, Oral,,, Cognitive,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Virola spp,Ethnobotanical / Rare,DMT-containing tree resin,Used In Amazonian Snuffs,High,1-3 Min,Restricted / Controlled,🇲🇽 Latin America,️ Restricted,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Anadenanthera colubrina (Cebíl),Ethnobotanical / Rare,"Entheogenic snuff, alternate reality feel",South American Use,High,Varies,Restricted In Many Regions,🌎 Unknown / Global,️ Restricted,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Anadenanthera peregrina (Yopo),Ethnobotanical / Rare,"Powerful snuff, DMT-like visuals",Prepared As Snuff (Contains Bufotenine),High,1-3 Min,Restricted In Many Regions,🇲🇽 Latin America,️ Restricted,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mandrake Root,Deliriant / Toxic,"Narcotic, visionary trance",Traditional Ceremonial Use Only,High,Varies,Controlled / Toxic,🌎 Unknown / Global,️ Toxic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Belladonna,Deliriant / Toxic,"Hallucinations, dreamlike confusion",Highly Toxic – Not For Casual Use,High,Varies,Controlled / Toxic,🌎 Unknown / Global,️ Toxic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Henbane,Deliriant / Toxic,"Delirium, hallucinations, anticholinergic",Historically Ritual; Dangerous/Toxic,High,Varies,Controlled / Toxic,🌎 Unknown / Global,"️ Ritual,,,️ Toxic",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Frankincense (Boswellia),Other,"Trance, meditative awareness",Resin Burned,Mild,Varies,Legal / Unregulated,🌐 Global / Ritual, Safe,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
White Sage,Ritual / Visionary,"Clarity, purification, spiritual reset",Burned As Incense,Mild,5-20 Min,Legal / Unregulated,🌐 Global / Ritual,"️ Ritual,,, Ritual,,, Cognitive,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Sweetgrass,Ritual / Visionary,"Positive energy, spiritual invocation",Burned Or Braided For Ceremonies,Mild,Varies,Legal / Unregulated,🌐 Global / Ritual," Ritual,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Copal,Ritual / Visionary,"Purifying, sacred aroma, trance enhancement",Burned As Incense,Mild,5-20 Min,Legal / Unregulated,🌐 Global / Ritual,"️ Ritual,,, Ritual,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Hop Flowers,Dissociative / Sedative,"Relaxation, dream enhancement",Tea Or Herbal Pillow,Mild,15-45 Min,Legal / Unregulated,🌎 Unknown / Global," Brewable,,, Dissociation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
California Poppy,Dissociative / Sedative,"Gentle sedative, dreamlike calm","Tea, Tincture, Or Extract",Mild,15-45 Min,Legal / Unregulated,🌎 Unknown / Global," Brewable,,, Dissociation,,, Sedation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Scullcap (Scutellaria),Dissociative / Sedative,"Relaxing, anxiety-reducing, dream support",Tea Or Tincture,Mild,15-45 Min,Legal / Unregulated,🌎 Unknown / Global," Brewable,,, Dissociation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Nelumbo nucifera,Empathogen / Euphoriant,"Mild dissociation, calm euphoria","Tea, Smoke",Mild,1-5 Min,"Legal, Low Concern",🌎 Unknown / Global,"️ Smokable,, Brewable,,, Euphoria,,, Sedation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Sakae Naa,Empathogen / Euphoriant,"Mild stimulant, mood separation",Tea Or Capsule,Mild,15-45 Min,Legal / Unregulated,🌎 Unknown / Global," Brewable,,, Oral,,, Euphoria,,, Stimulant,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Kra Thum Na / Kok,Empathogen / Euphoriant,"Stimulation, kratom-like body feel",Capsule Or Tea,Moderate,15-45 Min,Legal / Unregulated,🌎 Unknown / Global," Brewable,,, Oral,,, Euphoria,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Kratom (Mitragyna speciosa),Empathogen / Euphoriant,Stimulant or sedative euphoria (dose-dependent),Oral Only – Not Smoked,High,1-5 Min,Restricted In Some Regions,🌎 Unknown / Global,"️ Smokable,, Oral,,, Euphoria,,, Stimulant,,,️ Restricted",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Turnera diffusa,Empathogen / Euphoriant,"Same as Damiana – aphrodisiac, mood lift",Tea Or Smoke,Mild,1-5 Min,Legal / Unregulated,🌎 Unknown / Global,"️ Smokable,, Brewable,,, Euphoria,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Tagetes lucida (Mexican Tarragon),Other,"Visionary dreams, clarity","Tea, Incense, Or Smoke",Mild,1-5 Min,Legal / Unregulated,🇲🇽 Latin America,"️ Smokable,, Brewable,,,️ Ritual,,, Cognitive,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Asparagus racemosus (Shatavari),Other,"Spiritual dreaming, subtle energy shifts",Tea Or Tincture,Mild,15-45 Min,Legal / Unregulated,🇮🇳 India," Brewable,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Nutmeg (high dose),Deliriant / Toxic,"Dissociation, nausea, hallucinations",Dangerous Doses Needed; Not Recommended,High,Varies,Discouraged / Toxic,🌎 Unknown / Global,️ Toxic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Datura / Brugmansia,Deliriant / Toxic,"Full blackout, dreamlike confusion","Not Safe – Toxic, Unpredictable",High,Varies,Dangerous / Toxic / Controlled,🌎 Unknown / Global,️ Toxic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mapacho,Ritual / Visionary,"Sacred tobacco, heavy grounding",Smoked Ceremonially (Very Strong),High,1-5 Min,Restricted (Due To Nicotine Content),🇲🇽 Latin America,"️ Smokable,, Ritual,,,️ Restricted",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Frankincense,Ritual / Visionary,"Meditative trance, sacred space",Resin Incense,Mild,5-20 Min,Legal / Unregulated,🌐 Global / Ritual,"️ Ritual,,, Ritual,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mexican Tarragon,Other,"Visionary clarity, spiritual herb","Tea, Incense, Or Smoke",Mild,1-5 Min,Legal / Unregulated,🇲🇽 Latin America,"️ Smokable,, Brewable,,,️ Ritual,,, Cognitive,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Wormwood,Ritual / Visionary,"Bittersweet trance, visual haze",Used In Absinthe Or Smoked With Caution,Moderate,1-5 Min,"Legal, Thujone Regulated In Some Countries",🇪🇺 Europe,"️ Smokable,, Ritual,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Chiric Sanango,Dissociative / Sedative,"Shadow work, spiritual clearing",Amazonian Brew; Not Casual Use,High,15-45 Min,Legal / Unregulated,🌎 Unknown / Global," Brewable,,, Dissociation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acorus calamus,Dissociative / Sedative,"Mild hallucinations, odd clarity",Tea Or Chewed (Effects Debated),Mild,15-45 Min,Banned For Food Use In Us (Asarone),🌎 Unknown / Global," Brewable,,, Oral,,, Dissociation,,, Cognitive,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Kava Kava,Dissociative / Sedative,"Body numbing, mind floating",Brewed Tea (Not Smoked),Moderate,1-5 Min,"Legal, Restricted In Some Countries",🌎 Unknown / Global,"️ Smokable,, Brewable,,, Dissociation,,,️ Restricted",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Valerian Root,Dissociative / Sedative,"Deep sedation, dream fog",Tea Or Tincture,Mild,15-45 Min,Legal / Unregulated,🇪🇺 Europe," Brewable,,, Dissociation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Wild Lettuce,Dissociative / Sedative,"Opium-like body high, sedation",Smoke Or Extract,Moderate,1-5 Min,Legal / Unregulated,🌎 Unknown / Global,"️ Smokable,, Dissociation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Salvia divinorum,Dissociative / Sedative,"Total dissociation, entity contact","Smoked, Intense, Short Duration",High,1-5 Min,Restricted In Many Regions,🇲🇽 Latin America,"️ Smokable,, Dissociation,,,️ Restricted",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Nelumbo nucifera (Sacred Lotus),Other,"Spiritual clarity, calming euphoria","Tea, Tincture, Smoke",Mild,1-5 Min,Legal / Unregulated,🌎 Unknown / Global,"️ Smokable,, Brewable,,, Cognitive,,, Sedation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Damiana,Empathogen / Euphoriant,"Aphrodisiac, relaxing, mood lifting",Tea Or Smoke,Mild,1-5 Min,"Legal, Banned In Some Countries",🇲🇽 Latin America,"️ Smokable,, Brewable,,, Euphoria,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Wild Dagga,Empathogen / Euphoriant,"Cannabis-like buzz, mild euphoria",Smoke Or Extract,Moderate,1-5 Min,Legal / Unregulated,🌍 Africa,"️ Smokable,, Euphoria,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Blue Lotus (Nymphaea caerulea),Other,"Euphoria, aphrodisiac, dreamy calm","Wine Soak, Smoke, Tea",Mild,1-5 Min,Legal / Unregulated,🌎 Unknown / Global,"️ Smokable,, Brewable,,, Sedation,,, Safe",May modulate dopamine and serotonin; some MAO inhibitory action suspected,"Onset 30–60 min, oral or alcoholic extract. Mild duration (~2–3 hours)","Relaxation, aphrodisiac, mild euphoria, sleep aid","Drowsiness, dizziness, dry mouth","Avoid with MAOIs, sedatives, or alcohol",May potentiate CNS depressants,Low; very high doses can cause nausea and vomiting,Not Available
Sceletium tortuosum (Kanna),Empathogen / Euphoriant,"Mood lift, empathy, sociability","Chew, Snuff, Extract",Moderate,30-60 Min,"Legal, Sometimes Restricted",🌎 Unknown / Global," Oral,,, Euphoria,,,️ Restricted",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Heimia salicifolia (Sinicuichi),Dissociative / Sedative,"Auditory hallucinations, slowed time",Fermented Sun Tea,Moderate,15-45 Min,Legal / Unregulated,🌎 Unknown / Global," Brewable,,, Fermented,,, Dissociation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mugwort,Oneirogen,"Lucid dreams, astral travel","Tea, Smoke, Or Pillow Herb",Mild,1-5 Min,Legal / Unregulated,🇪🇺 Europe,"️ Smokable,, Brewable,,  Dream,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Entada rheedii,Oneirogen,"Dream enhancement, trance",Seed Powder Or Chew,Moderate,30-60 Min,Legal / Unregulated,🇲🇽 Latin America," Oral,,  Dream,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Silene capensis,Oneirogen,"Deep dreaming, ancestor contact",Cold Water Root Brew,Mild,15-45 Min,Legal / Unregulated,🌍 Africa," Brewable,,  Dream,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Calea zacatechichi,Oneirogen,"Vivid/lucid dreams, dream recall",Bitter Tea Or Smoke,Mild,1-5 Min,Legal / Unregulated,🇲🇽 Latin America,"️ Smokable,, Brewable,,  Dream,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
