Herb,Category,Effects,Preparation,Intensity,Onset,Legal Status,Region,Tags,Mechanism of Action,Pharmacokinetics,Therapeutic Uses,Side Effects,Contraindications,Drug Interactions,Toxicity,Toxicity / LD50
Salvia divinorum,Dissociative / Sedative,"Total dissociation, entity contact","Smoked, intense, short duration",High,1-5 min,Restricted in many regions,🇲🇽 Latin America,"🌬️ Smokable, 🌀 Dissociation, ⚠️ Restricted",,"Absorbed via oral mucosa, smoking or vaporization; rapid onset (seconds–minutes), short duration (~15–30 min), quickly metabolized to inactive salvinorin B [3, 1].","Visionary experiences in traditional Mazatec rituals; investigated for analgesic and anti-inflammatory properties [3, 0].","Tiredness, dizziness, amnesia, potential for transient psychosis in vulnerable individuals [3, 2].","Psychiatric disorders, cardiovascular instability; avoid in those at risk for psychosis [3, 2].","CNS depressants may potentiate sedative effects; caution when coadministered [3, 3].","Low toxicity; animal studies show minimal organ damage even at high doses [3, 3].",LD50 not established; salvinorin A active at microgram levels with no evidence of physical toxicity.
Wild Lettuce,Dissociative / Sedative,"Opium-like body high, sedation",Smoke or extract,Moderate,1-5 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable, 🌀 Dissociation, ✅ Safe","Lactucin and lactucopicrin act as acetylcholinesterase inhibitors and may bind opioid receptors, producing sedative and analgesic effects [0, 50].","Oral ingestion (tea or tincture); onset 30–60 min; duration ~4 h; metabolites excreted renally [0, 2].","Mild analgesic, sedative, sleep aid [0, 7].","Mydriasis, photophobia, dizziness, diaphoresis, auditory hallucinations, cardiovascular and respiratory distress at high doses [0, 2].","Pregnancy, concurrent sedative use, latex allergy.",Additive sedation with CNS depressants and alcohol.,"Dose-dependent toxicity; hospitalizations reported but full recovery common [0, 2].",
Valerian Root,Dissociative / Sedative,"Deep sedation, dream fog",Tea or tincture,Mild,15-45 min,Legal / Unregulated,🇪🇺 Europe,"☕ Brewable, 🌀 Dissociation, ✅ Safe",,"Oral extracts: onset 30–60 min; constituents metabolized hepatically; half-life varies by preparation [4, 0].","Insomnia, nervous tension, mild anxiety; often combined with other sedatives for sleep disorders [4, 0].","Headache, stomach upset, vivid dreams, excitability; rare withdrawal symptoms upon abrupt discontinuation [4, 4].","Pregnancy, lactation; caution in those with hepatic impairment [4, 8].","Additive sedation with barbiturates, benzodiazepines, CNS depressants; may increase effects of amobarbital and phenobarbital [4, 7].","Low; occasional reports of hepatotoxicity, safe at therapeutic doses [4, 4].",
Kava Kava,Dissociative / Sedative,"Body numbing, mind floating",Brewed tea (not smoked),Moderate,1-5 min,"Legal, restricted in some countries",🌎 Unknown / Global,"🌬️ Smokable, ☕ Brewable, 🌀 Dissociation, ⚠️ Restricted","Kavalactones such as kavain, methysticin, and yangonin modulate GABAA receptor activity and inhibit voltage-gated ion channels, producing anxiolytic, sedative, and muscle relaxant effects [1, 3, 1, 0].","Traditional aqueous extracts: onset 20–40 min; peak plasma kavalactone levels ~1–2 h; extensively metabolized hepatically [1, 0].","Ceremonial and social drink in Pacific cultures for anxiety relief, muscle relaxation, and mild euphoria [1, 0].","Drowsiness, headache, gastrointestinal discomfort; potential hepatotoxicity with chronic use of non-water extracts [1, 0, 1, 6].","Liver disease, concurrent alcohol or hepatotoxic medications, pregnancy.","Additive sedation with alcohol and CNS depressants; caution with anticoagulants [1, 0].","Human LD50 unknown; animal studies indicate moderate safety margin; heavy chronic use linked to rare hepatotoxicity [1, 6].","Human LD50 unknown; animal studies indicate moderate safety margin; heavy chronic use linked to rare hepatotoxicity [1, 6]."
Acorus calamus,Dissociative / Sedative,"Mild hallucinations, odd clarity",Tea or chewed (effects debated),Mild,15-45 min,Banned for food use in US (asarone),🌎 Unknown / Global,"☕ Brewable, 💊 Oral, 🌀 Dissociation, 🧠 Cognitive, ✅ Safe","Exhibits neuroprotective, antioxidant, antidepressant, and anticonvulsant effects, likely via modulation of GABAergic and monoaminergic systems [0, 10, 0, 15].","Oral administration: onset 30–60 min; peak plasma levels within 1–2 h; metabolized hepatically and excreted renally [0, 15].","Traditional use as digestive tonic, neuroprotectant, and mood regulator; modern research explores antidepressant and anticonvulsant applications [0, 10].","Potential emmenagogic and genotoxic activity; avoid use due to carcinogenic β-asarone content [0, 0, 0, 5].","Pregnancy and lactation; use prohibited in some regions [0, 0].","None well documented; may reduce effectiveness of antacids [0, 25].","High doses linked to neurotoxicity; banned in some countries due to carcinogenic concerns [0, 0].",
Chiric Sanango,Dissociative / Sedative,"Shadow work, spiritual clearing",Amazonian brew; not casual use,High,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 🌀 Dissociation, ✅ Safe","Contains β-carboline alkaloids (harmine, harmaline) and coumarins (scopoletin) that may inhibit monoamine oxidase and modulate serotonergic/cholinergic systems [0, 11, 0, 1].","Traditionally infused or added to ayahuasca; alkaloids absorbed orally; onset ~30–60 min; duration several hours [0, 10].","Potentiates ayahuasca, used in Amazonian rituals for introspection and mild hallucinations [0, 4].","Dizziness, nausea, muscle tremors, delirium at high doses [0, 11].","Pregnancy, cardiovascular conditions.",Other serotonergic or cholinergic agents.,Toxic in high doses; caution advised.,LD50 not established; considered mildly toxic in large doses due to cholinergic effects.
Wormwood,Ritual / Visionary,"Bittersweet trance, visual haze",Used in absinthe or smoked with caution,Moderate,1-5 min,"Legal, thujone regulated in some countries",🇪🇺 Europe,"🌬️ Smokable, 🔮 Ritual, ✅ Safe","Contains (−)-α- and (+)-β-thujone, which act as GABAA receptor antagonists, causing mild convulsant and excitatory effects; also exhibits anti-inflammatory and antimicrobial properties [0, 3, 0, 22].","Oral use: onset 20–60 min; peak plasma thujone ~1–2 h; metabolized by CYP450 enzymes [0, 22].","Digestive tonic, antiparasitic, antimicrobial, anti-inflammatory; ingredient in traditional absinthe liquor [0, 7].","Nausea, vomiting, convulsions, hallucinations at high doses; GI upset; allergic reactions [0, 3, 0, 22].","Pregnancy, epilepsy, seizure disorders, liver disease.","Additive neurotoxicity with other GABA antagonists; caution with CNS stimulants [0, 17].","Rodent oral LD50 for thujone ~45 mg/kg; chronic high intake associated with neurotoxicity [0, 3].","Rodent oral LD50 for thujone ~45 mg/kg; chronic high intake associated with neurotoxicity [0, 3]."
Mexican Tarragon,Other,"Visionary clarity, spiritual herb","Tea, incense, or smoke",Mild,1-5 min,Legal / Unregulated,🇲🇽 Latin America,"🌬️ Smokable, ☕ Brewable, 🕯️ Ritual, 🧠 Cognitive, ✅ Safe","Coumarins (dimethylfraxetin) and flavonoids modulate serotonergic (5-HT1A) and GABAergic (benzodiazepine binding) neurotransmission, producing anxiolytic and sedative-like effects [0, 0, 0, 4].","Aqueous infusions or tinctures: onset ~30–60 min; active coumarins undergo hepatic metabolism; excreted renally [0, 2].","Traditional antispasmodic, antidiarrheal, anxiolytic, sedative, and additive in tobacco mixtures for psychoactive effects [0, 0, 0, 5].","Drowsiness, nausea, headache in high doses [0, 1].","Pregnancy, lactation, respiratory conditions (smoking) [0, 0].","Potentiation of sedatives and MAO inhibitors [0, 2].","Low acute toxicity; no significant LD50 data available [0, 2].","Low acute toxicity; no significant LD50 data available [0, 2]."
Frankincense,Ritual / Visionary,"Meditative trance, sacred space",Resin incense,Mild,5-20 min,Legal / Unregulated,🌐 Global / Ritual,"🕯️ Ritual, 🔮 Ritual, ✅ Safe",Boswellic acids inhibit 5-lipoxygenase enzyme; anti-inflammatory and neuroprotective.,"Oral extracts: peak plasma boswellic acids ~2 h post-dose; hepatic metabolism; urinary excretion of metabolites [0, 12].","Anti-inflammatory for arthritis, ulcerative colitis, asthma; wound healing; cognitive support [0, 7, 0, 2].","GI upset, allergic reactions; rare hepatotoxicity [0, 7].","Pregnancy, bleeding disorders, surgery (increased bleeding risk) [0, 7].","Anticoagulants, immunosuppressants; may potentiate anti‑inflammatories [0, 7].",Generally well tolerated; high doses may cause stomach upset or hepatotoxicity in rare cases.,LD50 (boswellic acid) not well established; no known fatal dose in humans.
Mapacho,Ritual / Visionary,"Sacred tobacco, heavy grounding",Smoked ceremonially (very strong),High,1-5 min,Restricted (due to nicotine content),🇲🇽 Latin America,"🌬️ Smokable, 🔮 Ritual, ⚠️ Restricted","Nicotine agonizes nicotinic acetylcholine receptors; contains β-carbolines (harmala alkaloids) acting as reversible MAO inhibitors [1, 0, 1, 9].","Smoked or insufflated; rapid absorption via lungs or mucosa; peak plasma nicotine within minutes; half-life ~2 hours [1, 0].","Shamanic entheogen in rapé blends for sensory enhancement and ritual purification [1, 0].","Nausea, tachycardia, vomiting, dizziness at high doses [1, 0].","Cardiovascular disease, pregnancy.",Other nicotinic agonists and MAO inhibitors.,High risk of nicotine overdose; very toxic.,LD50 (nicotine) ~0.5–1.0 mg/kg in humans (oral); overdose via smoke is rare but possible.
Datura / Brugmansia,Deliriant / Toxic,"Full blackout, dreamlike confusion","NOT safe – toxic, unpredictable",High,Varies,Dangerous / Toxic / Controlled,🌎 Unknown / Global,☠️ Toxic,Antagonist at muscarinic acetylcholine receptors (M1–M5); causes anticholinergic delirium.,"Oral ingestion: onset 30–60 min; peak levels ~1–2 h; extensively metabolized hepatically; excretion via urine [0, 0].","Historically used as antispasmodic, analgesic, and hypnotic; in modern medicine for motion sickness and as pre-anesthetic [0, 5].","Dry mouth, tachycardia, blurred vision, urinary retention, confusion, hallucinations; anticholinergic toxidrome at high doses [0, 15].","Glaucoma, prostatic hypertrophy, cardiovascular disease, psychiatric disorders, pregnancy [0, 5].","Additive anticholinergic effects with antihistamines, tricyclic antidepressants, antipsychotics [0, 5].","Extremely toxic; unpredictable alkaloid content (atropine, scopolamine) can cause fatal overdose.",Human LD50 (atropine) ~10 mg/kg; child fatalities at ~50 seeds reported.
Nutmeg (high dose),Deliriant / Toxic,"Dissociation, nausea, hallucinations",Dangerous doses needed; not recommended,High,Varies,Discouraged / Toxic,🌎 Unknown / Global,☠️ Toxic,"Myristicin and elemicin exhibit mild hallucinogenic and anticholinergic effects by inhibiting acetylcholine receptors and monoamine oxidase [0, 21].","Oral ingestion: onset 3–6 h; duration up to 12 h; metabolized hepatically, excreted renally [0, 21].","Traditional deliriant, dream enhancement, aphrodisiac; flavoring agent in culinary contexts [0, 21].","Nausea, dry mouth, anxiety, delirium, hallucinations at psychoactive doses [0, 21].","Psychiatric disorders, liver disease, pregnancy [0, 21].","Additive CNS effects with depressants and MAOIs [0, 21].","Moderate-to-high toxicity at psychoactive doses; overdose risk for anticholinergic delirium [0, 21].",Estimated LD50 (myristicin) ~5600 mg/kg in rats; toxic threshold in humans ~5g+ of nutmeg powder.
Asparagus racemosus (Shatavari),Other,"Spiritual dreaming, subtle energy shifts",Tea or tincture,Mild,15-45 min,Legal / Unregulated,🇮🇳 India,"☕ Brewable, ✅ Safe","Steroidal saponins (shatavarins) modulate estrogen receptors and exhibit antioxidant, immunomodulatory, and neuroprotective properties [1, 4].","Oral administration: onset 30–60 min; bioactive saponins have prolonged half-life; cumulative effects with daily dosing [1, 4].","Galactagogue, reproductive health support, adaptogen for stress, gastric ulcer treatment, diuretic [1, 5].","GI upset, headache; potential hormonal effects at high doses [1, 5].","Pregnancy (high doses), hormone-sensitive cancers; caution with hypoglycemic agents [0, 3].","Lithium (efficacy reduction) and hypoglycemic drugs; possible additive effects [0, 3].","Low toxicity; very high doses may induce convulsions in animal models; generally well-tolerated [1, 9].",
Tagetes lucida (Mexican Tarragon),Other,"Visionary dreams, clarity","Tea, incense, or smoke",Mild,1-5 min,Legal / Unregulated,🇲🇽 Latin America,"🌬️ Smokable, ☕ Brewable, 🕯️ Ritual, 🧠 Cognitive, ✅ Safe","Coumarins (dimethylfraxetin, herniarin) and essential oils (methyl eugenol, estragole) interact with GABAₐ and 5-HT₁ₐ receptors, producing anxiolytic and sedative effects [2, 2, 2, 10].","Consumed as tea or tincture; onset ~20–30 min; duration ~2–4 hours [2, 2].","Anxiolytic, digestive aid, ritual incense for purification [2, 10].","Mild GI upset, potential photosensitivity [2, 3].","Pregnancy, concurrent sedatives.",Benzodiazepines and serotonergic drugs.,Low; traditional use generally safe.,
Turnera diffusa,Empathogen / Euphoriant,"Same as Damiana – aphrodisiac, mood lift",Tea or smoke,Mild,1-5 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable, ☕ Brewable, 💫 Euphoria, ✅ Safe","Likely modulates serotonin, dopamine, and GABA neurotransmission via flavonoids and tannins [8, 6].","Tea or smoked; onset ~30–45 min; duration ~2–4 hours [8, 6].","Aphrodisiac, mood enhancement, stress relief [8, 6].","Mild headache, insomnia at high doses [8, 6].","Pregnancy, MAOI coadministration.",Serotonergic medications.,Low in traditional doses.,
Kratom (Mitragyna speciosa),Empathogen / Euphoriant,Stimulant or sedative euphoria (dose-dependent),Oral only – not smoked,High,1-5 min,Restricted in some regions,🌎 Unknown / Global,"🌬️ Smokable, 💊 Oral, 💫 Euphoria, ⚡ Stimulant, ⚠️ Restricted","Mitragynine and 7-hydroxymitragynine act as partial agonists at μ-opioid receptors, and interact with adrenergic and serotonergic systems [0, 9].","Oral: onset 15–45 min; duration 3–6 h; hepatic metabolism via CYP enzymes; excretion renal [0, 9].","Analgesic, mood enhancer, stimulant or sedative (dose-dependent), opioid withdrawal management [0, 9].","Constipation, nausea, dependency risk, dizziness [0, 9].","Pregnancy, liver or kidney impairment, concurrent opioid or CNS depressant use [0, 9].","Additive sedation with opioids and sedatives; caution with MAOIs [0, 9].","Low-to-moderate; overdose may cause respiratory depression and death [0, 9].",
Kra Thum Na / Kok,Empathogen / Euphoriant,"Stimulation, kratom-like body feel",Capsule or tea,Moderate,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 💊 Oral, 💫 Euphoria, ✅ Safe",,,,,,,,
Sakae Naa,Empathogen / Euphoriant,"Mild stimulant, mood separation",Tea or capsule,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 💊 Oral, 💫 Euphoria, ⚡ Stimulant, ✅ Safe",Mitragynine-like alkaloids; mild adrenergic and dopaminergic stimulation.,Oral (tea/capsule); onset 20–40 min; effects last ~3–4 hrs.,"Used as stimulant, mood enhancer, and mild analgesic.","Mild stimulation, jitteriness, GI upset at high doses.",Avoid with stimulants or heart issues.,"May interact with MAOIs, stimulants, and certain SSRIs.","Low, but less studied than kratom.",Not established; no fatalities reported in isolated use.
Nelumbo nucifera,Empathogen / Euphoriant,"Mild dissociation, calm euphoria","Tea, smoke",Mild,1-5 min,"Legal, low concern",🌎 Unknown / Global,"🌬️ Smokable, ☕ Brewable, 💫 Euphoria, 🧘 Sedation, ✅ Safe",Contains nuciferine (dopamine receptor modulator) and aporphine alkaloids.,Smoked or tea; onset rapid (5–15 min); duration ~2–3 hrs.,"Mild euphoria, stress reduction, dream enhancement.",Mild dizziness or nausea if overused.,"Pregnancy, hypotension.",Possible additive effects with MAOIs and dopamine agents.,Low toxicity in traditional doses.,Not well-established; estimated to be >500 mg/kg (safe range).
Scullcap (Scutellaria),Dissociative / Sedative,"Relaxing, anxiety-reducing, dream support",Tea or tincture,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 🌀 Dissociation, ✅ Safe",Flavonoids and baicalin modulate GABA-A receptors and inhibit inflammation.,Taken orally; onset ~30 min; effects last ~2–4 hrs.,"Calming, anticonvulsant, neuroprotective.",Rarely causes liver enzyme elevation or drowsiness.,Liver issues; consult provider before long-term use.,Additive effects with sedatives or anxiolytics.,"Generally safe, though adulterants in supplements have caused concern.",No standard LD50 data; high therapeutic margin.
California Poppy,Dissociative / Sedative,"Gentle sedative, dreamlike calm","Tea, tincture, or extract",Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 🌀 Dissociation, 🧘 Sedation, ✅ Safe",Mild GABAergic activity and opioid receptor affinity (non-narcotic).,Oral (tea or tincture); onset ~30 min; lasts 2–3 hrs.,"Used for anxiety, insomnia, and pain management.","Drowsiness, vivid dreams, dizziness.",Not for use in pregnancy or with other CNS depressants.,May amplify effects of benzodiazepines and alcohol.,Low toxicity; non-habit-forming.,No known LD50 in humans; safe at standard doses.
Hop Flowers,Dissociative / Sedative,"Relaxation, dream enhancement",Tea or herbal pillow,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 🌀 Dissociation, ✅ Safe","Binds to GABA-A receptors, promoting sedation and relaxation.",Oral or inhaled; onset ~20–40 min; duration ~2–4 hrs.,"Used as a mild sleep aid, anxiety reducer, and dream enhancer.","Drowsiness, mild headache, possible hormonal effects in large doses.","Pregnancy, estrogen-sensitive conditions (e.g. breast cancer).","May enhance sedatives, alcohol, and hypnotics.",Very low toxicity; generally regarded as safe.,No human LD50; high safety margin reported in herbal use.
Copal,Ritual / Visionary,"Purifying, sacred aroma, trance enhancement",Burned as incense,Mild,5-20 min,Legal / Unregulated,🌐 Global / Ritual,"🕯️ Ritual, 🔮 Ritual, ✅ Safe",,,,,,,,
Sweetgrass,Ritual / Visionary,"Positive energy, spiritual invocation",Burned or braided for ceremonies,Mild,Varies,Legal / Unregulated,🌐 Global / Ritual,"🔮 Ritual, ✅ Safe",,,,,,,,
White Sage,Ritual / Visionary,"Clarity, purification, spiritual reset",Burned as incense,Mild,5-20 min,Legal / Unregulated,🌐 Global / Ritual,"🕯️ Ritual, 🔮 Ritual, 🧠 Cognitive, ✅ Safe","1,8-Cineole and α-thujone inhibit pro-inflammatory cytokines (TNFα, IL-1β) and arachidonic acid metabolism; antimicrobial and antiviral effects via NF-κB inhibition [0, 19, 0, 4].","Inhaled or topical; rapid local absorption; systemic exposure minimal; metabolites excreted renally [0, 4].","Smudging rituals for purification, antimicrobial, respiratory support, mental clarity [0, 19].","Respiratory irritation, asthmatic exacerbation, headaches at high exposure [0, 19].","Asthma, pregnancy, respiratory disorders.",None significant documented.,"Very low; excessive inhalation may cause dizziness or nausea [0, 4].",
Frankincense (Boswellia),Other,"Trance, meditative awareness",Resin burned,Mild,Varies,Legal / Unregulated,🌐 Global / Ritual,✅ Safe,,,,,,,,
Henbane,Deliriant / Toxic,"Delirium, hallucinations, anticholinergic",Historically ritual; dangerous/toxic,High,Varies,Controlled / Toxic,🌎 Unknown / Global,"🕯️ Ritual, ☠️ Toxic",,,,,,,,
Belladonna,Deliriant / Toxic,"Hallucinations, dreamlike confusion",Highly toxic – not for casual use,High,Varies,Controlled / Toxic,🌎 Unknown / Global,☠️ Toxic,Tropane alkaloids block acetylcholine; causes anticholinergic delirium.,Oral or topical; onset ~30–90 mins; effects last 4–12 hrs.,"Historically used for pain, muscle spasms, and cosmetic dilation.","Dry mouth, hallucinations, delirium, elevated pulse.","Cardiovascular disease, glaucoma, pregnancy.","CNS depressants, anticholinergic drugs.",Highly toxic; accidental ingestion can be fatal.,"Atropine LD50 (rat, oral): ~453 mg/kg."
Mandrake Root,Deliriant / Toxic,"Narcotic, visionary trance",Traditional ceremonial use only,High,Varies,Controlled / Toxic,🌎 Unknown / Global,☠️ Toxic,"Contains tropane alkaloids (scopolamine, atropine); anticholinergic deliriant.",Oral or transdermal; slow absorption; long-lasting (6–12 hrs).,"Historically used as anesthetic, antispasmodic, and in witchcraft.","Dry mouth, confusion, hallucinations, elevated heart rate.","Pregnancy, glaucoma, heart conditions.","Potentiates other anticholinergics, CNS depressants.",Highly toxic in moderate doses.,"Scopolamine LD50 (rat, oral): ~310 mg/kg."
