Herb,Category,Effects,Preparation,Intensity,Onset,Legal Status,Region,Tags,Mechanism of Action,Pharmacokinetics,Therapeutic Uses,Side Effects,Contraindications,Drug Interactions,Toxicity,Toxicity / LD50
Kava Kava,Dissociative / Sedative,"Body numbing, mind floating",Brewed tea (not smoked),Moderate,1-5 min,"Legal, restricted in some countries",🌎 Unknown / Global,"🌬️ Smokable,☕ Brewable,🌀 Dissociation,⚠️ Restricted",,,,,,,,
Acorus calamus,Dissociative / Sedative,"Mild hallucinations, odd clarity",Tea or chewed (effects debated),Mild,15-45 min,Banned for food use in US (asarone),🌎 Unknown / Global,"☕ Brewable,💊 Oral,🌀 Dissociation,🧠 Cognitive,✅ Safe",,,,,,,,Not Available
Chiric Sanango,Dissociative / Sedative,"Shadow work, spiritual clearing",Amazonian brew; not casual use,High,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable,🌀 Dissociation,✅ Safe",,,,,,,,Not Available
Wormwood,Ritual / Visionary,"Bittersweet trance, visual haze",Used in absinthe or smoked with caution,Moderate,1-5 min,"Legal, thujone regulated in some countries",🇪🇺 Europe,"🌬️ Smokable,🔮 Ritual,✅ Safe",,,,,,,,
Mexican Tarragon,Other,"Visionary clarity, spiritual herb","Tea, incense, or smoke",Mild,1-5 min,Legal / Unregulated,🇲🇽 Latin America,"🌬️ Smokable,☕ Brewable,🕯️ Ritual,🧠 Cognitive,✅ Safe",,,,,,,,
Frankincense,Ritual / Visionary,"Meditative trance, sacred space",Resin incense,Mild,5-20 min,Legal / Unregulated,🌐 Global / Ritual,"🕯️ Ritual,🔮 Ritual,✅ Safe",Not Available,,,,,,,Not Available
Mapacho,Ritual / Visionary,"Sacred tobacco, heavy grounding",Smoked ceremonially (very strong),High,1-5 min,Restricted (due to nicotine content),🇲🇽 Latin America,"🌬️ Smokable,🔮 Ritual,⚠️ Restricted",,,,,,,,Not Available
Datura / Brugmansia,Deliriant / Toxic,"Full blackout, dreamlike confusion","NOT safe – toxic, unpredictable",High,Varies,Dangerous / Toxic / Controlled,🌎 Unknown / Global,☠️ Toxic,Not Available,,,,,,,
Nutmeg (high dose),Deliriant / Toxic,"Dissociation, nausea, hallucinations",Dangerous doses needed; not recommended,High,Varies,Discouraged / Toxic,🌎 Unknown / Global,☠️ Toxic,,,,,,,,Not Available
Asparagus racemosus (Shatavari),Other,"Spiritual dreaming, subtle energy shifts",Tea or tincture,Mild,15-45 min,Legal / Unregulated,🇮🇳 India,"☕ Brewable,✅ Safe",,,,,,,,Not Available
Tagetes lucida (Mexican Tarragon),Other,"Visionary dreams, clarity","Tea, incense, or smoke",Mild,1-5 min,Legal / Unregulated,🇲🇽 Latin America,"🌬️ Smokable,☕ Brewable,🕯️ Ritual,🧠 Cognitive,✅ Safe",,,,,,,,Not Available
Turnera diffusa,Empathogen / Euphoriant,"Same as Damiana – aphrodisiac, mood lift",Tea or smoke,Mild,1-5 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable,☕ Brewable,💫 Euphoria,✅ Safe",,,,,,,,Not Available
Kratom (Mitragyna speciosa),Empathogen / Euphoriant,Stimulant or sedative euphoria (dose-dependent),Oral only – not smoked,High,1-5 min,Restricted in some regions,🌎 Unknown / Global,"🌬️ Smokable,💊 Oral,💫 Euphoria,⚡ Stimulant,⚠️ Restricted",,,,,,,,Not Available
Kra Thum Na / Kok,Empathogen / Euphoriant,"Stimulation, kratom-like body feel",Capsule or tea,Moderate,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable,💊 Oral,💫 Euphoria,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Sakae Naa,Empathogen / Euphoriant,"Mild stimulant, mood separation",Tea or capsule,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable,💊 Oral,💫 Euphoria,⚡ Stimulant,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Nelumbo nucifera,Empathogen / Euphoriant,"Mild dissociation, calm euphoria","Tea, smoke",Mild,1-5 min,"Legal, low concern",🌎 Unknown / Global,"🌬️ Smokable,☕ Brewable,💫 Euphoria,🧘 Sedation,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Scullcap (Scutellaria),Dissociative / Sedative,"Relaxing, anxiety-reducing, dream support",Tea or tincture,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable,🌀 Dissociation,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
California Poppy,Dissociative / Sedative,"Gentle sedative, dreamlike calm","Tea, tincture, or extract",Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable,🌀 Dissociation,🧘 Sedation,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Hop Flowers,Dissociative / Sedative,"Relaxation, dream enhancement",Tea or herbal pillow,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable,🌀 Dissociation,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Copal,Ritual / Visionary,"Purifying, sacred aroma, trance enhancement",Burned as incense,Mild,5-20 min,Legal / Unregulated,🌐 Global / Ritual,"🕯️ Ritual,🔮 Ritual,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Sweetgrass,Ritual / Visionary,"Positive energy, spiritual invocation",Burned or braided for ceremonies,Mild,Varies,Legal / Unregulated,🌐 Global / Ritual,"🔮 Ritual,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
White Sage,Ritual / Visionary,"Clarity, purification, spiritual reset",Burned as incense,Mild,5-20 min,Legal / Unregulated,🌐 Global / Ritual,"🕯️ Ritual,🔮 Ritual,🧠 Cognitive,✅ Safe",,,,,,,,Not Available
Frankincense (Boswellia),Other,"Trance, meditative awareness",Resin burned,Mild,Varies,Legal / Unregulated,🌐 Global / Ritual,✅ Safe,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Henbane,Deliriant / Toxic,"Delirium, hallucinations, anticholinergic",Historically ritual; dangerous/toxic,High,Varies,Controlled / Toxic,🌎 Unknown / Global,"🕯️ Ritual,☠️ Toxic",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Belladonna,Deliriant / Toxic,"Hallucinations, dreamlike confusion",Highly toxic – not for casual use,High,Varies,Controlled / Toxic,🌎 Unknown / Global,☠️ Toxic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mandrake Root,Deliriant / Toxic,"Narcotic, visionary trance",Traditional ceremonial use only,High,Varies,Controlled / Toxic,🌎 Unknown / Global,☠️ Toxic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Anadenanthera peregrina (Yopo),Ethnobotanical / Rare,"Powerful snuff, DMT-like visuals",Prepared as snuff (contains bufotenine),High,1-3 min,Restricted in many regions,🇲🇽 Latin America,⚠️ Restricted,,,,,,,,Not Available
Anadenanthera colubrina (Cebíl),Ethnobotanical / Rare,"Entheogenic snuff, alternate reality feel",South American use,High,Varies,Restricted in many regions,🌎 Unknown / Global,⚠️ Restricted,,,,,,,,
Virola spp.,Ethnobotanical / Rare,DMT-containing tree resin,Used in Amazonian snuffs,High,1-3 min,Restricted / Controlled,🇲🇽 Latin America,⚠️ Restricted,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acorus gramineus,Ethnobotanical / Rare,"Cognitive clarity, trippy effects (debated)",Tea or chewed,Mild,15-45 min,Legal / Unregulated,🇨🇳 East Asia,"☕ Brewable,💊 Oral,🧠 Cognitive,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Celastrus paniculatus (Intellect Tree),Other,"Lucid dreaming, cognitive enhancer",Oil or seeds consumed,Mild,Varies,Legal / Unregulated,🌎 Unknown / Global,"🧠 Cognitive,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Silphium (extinct),Other,Ancient psychoactive/contraceptive herb,No longer available but worth note,Mild,Varies,Legal / Unregulated,🌎 Unknown / Global,✅ Safe,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Nymphaea ampla,Empathogen / Euphoriant,"Sedative, euphoric, dreamlike states",Tea or smoke,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable,☕ Brewable,💫 Euphoria,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Pedicularis densiflora (Indian warrior),Dissociative / Sedative,"Muscle relaxation, mild body high",Smoked or tea,Moderate,5-15 min,Legal / Unregulated,"🌍 Africa, 🇮🇳 India","🌬️ Smokable,☕ Brewable,🌀 Dissociation,✅ Safe",,,,,,,,Not Available
Pedicularis groenlandica,Dissociative / Sedative,"Stronger relaxation, tension relief",Smoked or tea,Moderate,5-15 min,Legal / Unregulated,🌍 Africa,"🌬️ Smokable,☕ Brewable,🌀 Dissociation,✅ Safe",Not Available,,,,,,,Not Available
Lactuca canadensis,Dissociative / Sedative,"Wild lettuce relative, opium-like calm",Tea or smoke,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable,☕ Brewable,🌀 Dissociation,🧘 Sedation,✅ Safe",Not Available,,,,,,,Not Available
Artemisia absinthium (Wormwood),Ritual / Visionary,"Trance states, dream-like visuals",Tea or smoke,Moderate,15-45 min,"Legal, thujone regulated",🇪🇺 Europe,"🌬️ Smokable,☕ Brewable,🔮 Ritual,✅ Safe",,,,,,,,
Artemisia vulgaris (Mugwort),Oneirogen,"Lucid dreaming, light hallucinations","Smoke, tea, or ritual incense",Mild,5-15 min,Legal / Unregulated,🇪🇺 Europe,"🌬️ Smokable,☕ Brewable,🕯️ Ritual, 🧠 Dream,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Justicia pectoralis,Empathogen / Euphoriant,"Aromatic, mild euphoria, anti-anxiety",Smoked or brewed,Mild,15-30 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable,☕ Brewable,💫 Euphoria,✅ Safe",Not Available,,,,,,,Not Available
Viola odorata (Sweet violet),Dissociative / Sedative,"Mild sedative, calming, gentle dreaminess",Tea or syrup,Mild,15-30 min,Legal / Unregulated,🇪🇺 Europe,"☕ Brewable,🌀 Dissociation,🧘 Sedation,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Piper auritum (Root beer plant),Empathogen / Euphoriant,"Calming, warming, euphoric",Tea or culinary use,Mild,15-30 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable,💫 Euphoria,🧘 Sedation,✅ Safe",Not Available,,,,,,,Not Available
Eschscholzia californica (California poppy),Dissociative / Sedative,"Sleep aid, mild dreamlike calm","Tea, tincture",Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable,🌀 Dissociation,🧘 Sedation,✅ Safe",Not Available,,,,,,,Not Available
Rivea corymbosa,Ethnobotanical / Rare,"Dreamy visuals, nausea, traditional Mazatec use",Seeds ground and cold infused,High,30-90 min,Restricted in some countries,🌎 Unknown / Global,⚠️ Restricted,Not Available,,,,,,,Not Available
Ipomoea tricolor (Heavenly Blue),Ethnobotanical / Rare,"LSD-like visuals, spiritual confusion",Seeds ground and cold infused,High,30-90 min,Restricted in some countries,🌎 Unknown / Global,⚠️ Restricted,Not Available,,,,,,,Not Available
Argyreia nervosa (Hawaiian Baby Woodrose),Ethnobotanical / Rare,"Visionary, sedative, nausea-prone",Cold water seed infusion,High,30-90 min,Restricted in some countries,🌎 Unknown / Global,⚠️ Restricted,,,,,,,,Not Available
Tilia europaea (Linden flower),Dissociative / Sedative,"Calming, relaxing, mild dream aid",Tea,Mild,15-30 min,Legal / Unregulated,🇪🇺 Europe,"☕ Brewable,🌀 Dissociation,🧘 Sedation,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Melissa officinalis (Lemon balm),Dissociative / Sedative,"Anxiolytic, cognitive calming","Tea, tincture, or smoke",Mild,15-30 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable,☕ Brewable,🌀 Dissociation,🧠 Cognitive,🧘 Sedation,✅ Safe",Not Available,,,,,,,Not Available
Ocimum sanctum (Holy Basil / Tulsi),Empathogen / Euphoriant,"Mood lift, sacred calm, spiritual focus",Tea or incense,Mild,15-30 min,Legal / Unregulated,🇮🇳 India,"☕ Brewable,🕯️ Ritual,💫 Euphoria,🧘 Sedation,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Rhodiola rosea,Empathogen / Euphoriant,"Focus, reduced fatigue, mind clarity","Capsule, tincture",Mild,30-60 min,Legal / Unregulated,🌎 Unknown / Global,"💊 Oral,💫 Euphoria,🧠 Cognitive,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Withania somnifera (Ashwagandha),Dissociative / Sedative,"Grounded calm, dream support",Tea or capsule,Mild,30-60 min,Legal / Unregulated,🇮🇳 India,"☕ Brewable,💊 Oral,🌀 Dissociation,🧘 Sedation,✅ Safe",Not Available,,,,,,,Not Available
Bacopa monnieri,Empathogen / Euphoriant,"Memory enhancer, mild calming","Tea, capsule",Mild,30-60 min,Legal / Unregulated,🇮🇳 India,"☕ Brewable,💊 Oral,💫 Euphoria,🧘 Sedation,✅ Safe",,,,,,,,
Eleutherococcus senticosus (Siberian Ginseng),Empathogen / Euphoriant,"Balanced energy, mood resilience",Tea or extract,Mild,30-60 min,Legal / Unregulated,🇨🇳 East Asia,"☕ Brewable,💫 Euphoria,✅ Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
